status,Chipset,SIM,Cardslot,CPU,GPU,Display,price[EUR],weight[g],length[mm],width[mm],thikness[mm],Internal memory[GB],Internal memory RAM[GB],Video[fps],Battery Type[mAh],Announced,OS
161,53,125,73,116,53,3,0.06137134265154885,0.16142557651991615,0.3683563748079878,0.1904055390702275,0.3714285714285714,0.2440944881889764,0.4666666666666667,0.0,0.3870330755306895,0.03973509933774834,0
161,66,125,73,116,23,11,0.0444903877134572,0.18134171907756813,0.3791090629800308,0.1948565776458952,0.40952380952380946,0.2440944881889764,0.2,0.0,0.46931051505677146,0.06622516556291391,0
161,50,27,106,16,16,7,0.1035641407244887,0.017085953878406702,0.0030721966205837226,0.0,0.6476190476190475,0.05511811023622047,0.0,0.0,0.0009873292743129806,0.11920529801324503,9
161,50,27,106,1,37,10,0.13041410313454133,0.47274633123689724,0.6285714285714286,0.6998021760633037,0.29523809523809524,0.2440944881889764,0.33333333333333337,0.0,0.3870330755306895,0.059602649006622516,8
161,50,27,106,4,37,4,0.5331635392853307,0.579664570230608,0.7299539170506913,0.87784371909001,0.11428571428571427,0.49606299212598426,0.7333333333333334,0.0,0.822280730623663,0.01324503311258278,8
161,50,27,106,16,16,5,0.2834588888718413,0.009014675052410902,0.006144393241167417,0.00494559841740852,0.5523809523809522,0.11811023622047244,0.33333333333333337,0.0,0.3870330755306895,0.01986754966887417,9
161,50,125,106,28,37,10,0.2823081761971247,0.18134171907756813,0.3244239631336405,0.165677546983185,0.41904761904761917,0.2440944881889764,0.4666666666666667,0.0,0.2703636662827053,0.03973509933774834,7
161,50,125,106,28,37,11,0.16071236785982787,0.18343815513626835,0.35913978494623655,0.19683481701285854,0.3714285714285714,0.2440944881889764,0.33333333333333337,0.0,0.3362678953430969,0.0728476821192053,7
161,50,125,106,28,37,11,0.11353698390536539,0.18553459119496857,0.35883256528417823,0.1983184965380811,0.3714285714285714,0.2440944881889764,0.33333333333333337,0.0,0.331331248971532,0.11920529801324503,7
161,50,125,106,28,37,11,0.1456763889101984,0.1519916142557652,0.3182795698924731,0.16617210682492584,0.3714285714285714,0.2440944881889764,0.33333333333333337,0.0,0.25119302287312817,0.0728476821192053,7
161,50,27,106,28,37,10,0.2071282814489774,0.27987421383647804,0.4651305683563748,0.4787339268051435,0.2285714285714286,0.2440944881889764,0.4666666666666667,0.0,0.3934507158137239,0.033112582781456956,8
161,50,125,106,28,37,11,0.2147958635715053,0.18134171907756813,0.35913978494623655,0.19683481701285854,0.3714285714285714,0.2440944881889764,0.4666666666666667,0.0,0.3602106302451868,0.03973509933774834,7
161,50,125,106,28,37,10,0.16109593875140005,0.22431865828092243,0.3585253456221198,0.19584569732937684,0.380952380952381,0.2440944881889764,0.33333333333333337,0.0,0.331331248971532,0.11920529801324503,7
161,50,27,106,116,37,10,0.3413780934992405,0.6194968553459119,0.7268817204301076,0.8748763600395649,0.2095238095238095,0.2440944881889764,0.4666666666666667,0.0,0.7741484285009052,0.06622516556291391,8
161,50,125,106,28,37,10,0.42004848336069467,0.18867924528301888,0.32565284178187404,0.16765578635014844,0.46666666666666673,0.49606299212598426,0.7333333333333334,0.0,0.3045910811255554,0.01986754966887417,7
161,50,27,106,16,16,7,0.06482348067569847,0.0004192872117400395,0.0,0.0,0.6476190476190475,0.11811023622047244,0.33333333333333337,0.0,0.3870330755306895,0.01986754966887417,9
161,50,27,106,16,16,5,0.2834588888718413,0.03731656184486373,0.015360983102918585,0.029673590504451036,0.7714285714285714,0.11811023622047244,0.33333333333333337,0.0,0.02493006417640283,0.01986754966887417,9
161,50,27,106,4,37,4,0.5715206284425487,0.579664570230608,0.7299539170506913,0.87784371909001,0.11428571428571427,0.49606299212598426,0.4666666666666667,0.0,0.822280730623663,0.06622516556291391,8
161,50,125,106,28,37,11,0.20520659128220078,0.1509433962264151,0.3182795698924731,0.16617210682492584,0.3714285714285714,0.2440944881889764,0.4666666666666667,0.0,0.26863584005265756,0.03973509933774834,7
161,50,125,106,28,37,11,0.12619482332724735,0.22431865828092243,0.35883256528417823,0.1983184965380811,0.3619047619047619,0.2440944881889764,0.33333333333333337,0.0,0.3337172947177884,0.17880794701986755,7
161,50,27,106,16,16,7,0.1879497368703684,0.0370020964360587,0.015360983102918585,0.029673590504451036,1.0,0.05511811023622047,0.33333333333333337,0.0,0.02024025012341616,0.11920529801324503,9
161,50,125,106,28,37,10,0.46740030992528037,0.2169811320754717,0.3668202764976959,0.1978239366963403,0.46666666666666673,0.49606299212598426,0.7333333333333334,0.0,0.372469968734573,0.01986754966887417,7
161,50,27,106,116,37,10,0.3413780934992405,0.6184486373165619,0.7268817204301076,0.8748763600395649,0.2095238095238095,0.2440944881889764,0.4666666666666667,0.0,0.7741484285009052,0.059602649006622516,8
161,50,125,106,116,37,10,0.1879497368703684,0.4559748427672956,0.6254992319508448,0.6948565776458953,0.2095238095238095,0.11811023622047244,0.4666666666666667,0.0,0.6009544182985026,0.15894039735099336,8
161,50,125,106,28,37,10,0.14192122988170675,0.47274633123689724,0.6285714285714286,0.6998021760633037,0.29523809523809524,0.11811023622047244,0.2,0.0,0.6014480829356591,0.11258278145695363,8
161,50,125,106,28,37,10,0.2309096767264526,0.20440251572327045,0.35606758832565283,0.19139465875370926,0.41904761904761917,0.49606299212598426,0.4666666666666667,0.0,0.34103998683560965,0.0728476821192053,7
161,50,27,106,28,37,10,0.282373383248692,0.14570230607966458,0.34470046082949307,0.18150346191889222,0.16190476190476183,0.49606299212598426,0.7333333333333334,0.0,0.23473753496791178,0.01986754966887417,7
161,50,125,106,28,37,11,0.08016631633858569,0.12054507337526205,0.26881720430107525,0.12957467853610288,0.3619047619047619,0.2440944881889764,0.2,0.0,0.17623827546486753,0.17880794701986755,7
161,50,27,106,16,16,1,0.16876735658284364,0.037106918238993716,0.015360983102918585,0.029673590504451036,1.0,0.11811023622047244,0.33333333333333337,0.0,0.02205035379298996,0.0728476821192053,9
161,50,27,106,16,16,7,0.04986421590438345,0.00733752620545073,0.0,0.0,0.6476190476190475,0.05511811023622047,0.0,0.0,0.0,0.11920529801324503,9
161,50,125,106,116,37,1,0.5331635392853307,0.6876310272536688,0.7268817204301076,0.8748763600395649,0.2380952380952382,0.2440944881889764,0.4666666666666667,0.0,0.8607865723218694,0.11258278145695363,8
161,50,27,106,4,37,4,0.4372708163922856,0.4381551362683438,0.6319508448540706,0.6899109792284868,0.13333333333333336,0.49606299212598426,0.4666666666666667,0.0,0.6470297844331085,0.06622516556291391,8
161,50,125,106,28,37,11,0.10156957208831335,0.1530398322851153,0.31551459293394774,0.165677546983185,0.3714285714285714,0.2440944881889764,0.33333333333333337,0.0,0.24543360210630244,0.11920529801324503,7
161,50,27,106,116,37,10,0.24548537060619544,0.45492662473794554,0.6254992319508448,0.6948565776458953,0.2095238095238095,0.2440944881889764,0.4666666666666667,0.0,0.6014480829356591,0.059602649006622516,8
161,50,27,106,16,16,7,0.1073998496402105,0.0062893081761006275,0.0030721966205837226,0.0,0.6476190476190475,0.05511811023622047,0.0,0.0,0.0009873292743129806,0.11920529801324503,9
161,50,125,106,116,37,10,0.37973518265645856,0.46121593291404617,0.6254992319508448,0.6948565776458953,0.19047619047619052,0.2440944881889764,0.4666666666666667,0.0,0.5958532170478855,0.11258278145695363,8
161,50,27,106,16,16,5,0.09355294045445478,0.003459119496855345,0.006144393241167417,0.00494559841740852,0.5523809523809522,0.11811023622047244,0.33333333333333337,0.0,0.0025506006253085377,0.03973509933774834,9
161,50,27,106,16,16,7,0.21863540819614283,0.017085953878406702,0.0030721966205837226,0.0,0.6476190476190475,0.11811023622047244,0.33333333333333337,0.0,0.0009873292743129806,0.0728476821192053,9
